,Activity,SoraRank,elapsedTime,Current,Drink,Eat,Exercise,Grooming,Pee,Poop,Sleep,Teeth Clean,TimeDiff_Pee,TimeDiff_Exercise,TimeDiff_Poop,TimeDiff_Sleep,TimeDiff_Drink,TimeDiff_Eat,TimeDiff_Grooming,TimeDiff_Teeth Clean,hour,DOW_Friday,DOW_Monday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday
11,Poop,4.0,0.059166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.116666666666667,10.7,0.059166666666666666,9.45,0.0,0.0,0.0,0.0,8.283333333333333,0,1,0,0,0,0,0
12,Eat,3.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.166666666666666,10.75,0.10916666666666666,9.5,0.0,0.0,0.0,0.0,8.333333333333334,0,1,0,0,0,0,0
13,Drink,3.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,8.566666666666666,11.15,0.5091666666666667,9.9,6.65,0.0,0.0,0.0,8.733333333333333,0,1,0,0,0,0,0
14,Drink,2.75,0.15916666666666668,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,8.725833333333334,11.309166666666666,0.6683333333333333,10.059166666666666,0.15916666666666668,0.0,0.0,0.0,8.883333333333333,0,1,0,0,0,0,0
15,Sleep,2.6,0.14083333333333334,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,8.866666666666667,11.45,0.8091666666666667,8.283333333333333,0.3,0.0,0.0,0.0,9.033333333333333,0,1,0,0,0,0,0
16,Poop,2.6666666666666665,0.6333333333333333,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,9.5,12.083333333333334,1.3833333333333333,8.916666666666666,0.9333333333333333,0.0,0.0,0.0,9.666666666666666,0,1,0,0,0,0,0
17,Exercise,2.5714285714285716,0.13444444444444445,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,9.634444444444444,9.334444444444445,1.5177777777777777,9.051111111111112,1.0677777777777777,0.0,0.0,0.0,9.8,0,1,0,0,0,0,0
18,Sleep,2.75,0.7002777777777778,0.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,10.334722222222222,10.034722222222221,2.2180555555555554,1.4680555555555554,1.7680555555555555,0.0,0.0,0.0,10.5,0,1,0,0,0,0,0
19,Eat,3.6666666666666665,1.9047222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,12.239444444444445,11.939444444444444,4.122777777777777,3.372777777777778,3.6727777777777777,4.072777777777778,0.0,0.0,12.4,0,1,0,0,0,0,0
20,Exercise,5.0,1.593888888888889,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.833333333333334,4.198888888888889,5.716666666666667,4.966666666666667,5.266666666666667,5.666666666666667,0.0,0.0,14.0,0,1,0,0,0,0,0
21,Drink,3.5,0.26416666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0975,4.463055555555556,5.980833333333333,5.230833333333333,5.371666666666667,5.930833333333333,0.0,0.0,14.25,0,1,0,0,0,0,0
22,Pee,3.3333333333333335,0.06916666666666667,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.47638888888889,4.532222222222222,6.05,5.3,5.440833333333333,6.0,0.0,0.0,14.333333333333334,0,1,0,0,0,0,0
23,Pee,3.5,0.16666666666666666,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,4.698888888888889,6.216666666666667,5.466666666666667,5.6075,6.166666666666667,0.0,0.0,14.5,0,1,0,0,0,0,0
24,Sleep,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.1666666666666667,5.698888888888889,7.216666666666667,4.998611111111111,6.6075,7.166666666666667,0.0,0.0,15.5,0,1,0,0,0,0,0
25,Eat,4.0,2.661111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.827777777777778,8.36,9.877777777777778,7.659722222222222,9.268611111111111,5.755,0.0,0.0,18.15,0,1,0,0,0,0,0
26,Sleep,3.5,0.022222222222222223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.85,8.382222222222222,9.9,2.683333333333333,9.290833333333333,5.777222222222222,0.0,0.0,18.183333333333334,0,1,0,0,0,0,0
27,Drink,4.0,1.0508333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.900833333333333,9.433055555555555,10.950833333333334,3.734166666666667,4.97,6.828055555555555,0.0,0.0,19.233333333333334,0,1,0,0,0,0,0
28,Pee,4.0,0.96,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.694166666666667,10.393055555555556,11.910833333333333,4.694166666666667,5.93,7.788055555555555,0.0,0.0,20.183333333333334,0,1,0,0,0,0,0
29,Poop,4.25,0.8058333333333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.5,11.198888888888888,11.333333333333334,5.5,6.735833333333333,8.59388888888889,0.0,0.0,21.0,0,1,0,0,0,0,0
30,Sleep,4.0,0.30333333333333334,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.803333333333334,11.502222222222223,11.636666666666667,3.12,7.039166666666667,8.897222222222222,0.0,0.0,21.3,0,1,0,0,0,0,0
31,Pee,3.6666666666666665,1.53,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.6391666666666667,13.032222222222222,13.166666666666666,4.65,8.569166666666666,10.427222222222222,0.0,0.0,22.833333333333332,0,1,0,0,0,0,0
32,Sleep,3.25,0.28444444444444444,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.923611111111111,13.316666666666666,13.45111111111111,1.8144444444444445,8.85361111111111,10.711666666666666,0.0,0.0,23.116666666666667,0,1,0,0,0,0,0
